num_image,nom_produit,description,origine,vente,type_produit,,
160,MAIS DEGERME JAUNE 1KG,Issue de la mouture de maïs dégermé. Elle peut être jaune ou blanche selon la variété des maïs. Elle est utilisée pour la polenta et pour beaucoup d’autres préparations.,Afrique,Au Poids,Autres,,
161,MAIS DEGERME BLANC 1KG,Issue de la mouture de maïs dégermé. Elle peut être jaune ou blanche selon la variété des maïs. Elle est utilisée pour la polenta et pour beaucoup d’autres préparations.,Afrique,Au Poids,Autres,,
162,MAIS HAITI 1KG,Maïs Haïti est une semoule de maïs pour la réalisation des plats à base de maïs moulu et bien d'autre recettes africaines.,Afrique,Au Poids,,,
163,MAIS HAITI 5KG,Maïs Haïti est une semoule de maïs pour la réalisation des plats à base de maïs moulu et bien d'autre recettes africaines.,Afrique,Au poids,Autres,,
164,MAIS HOMINY PETIT 1KG,Sac de maïs cassés dégermés que l'on peut incorporer aux soupes et ragoûts.,Afrique,Au poids,Autres,,
165,MAIS POP CORN 1KG,Le maïs soufflé ou maïs éclaté est une céréale soufflée produit par un chauffage fort de grains de maïs. Il existe une seule variété de maïs capable de produire du pop-corn : le maïs à éclater,Afrique,Au poids,Autres,,
166,FARINE DE MAIS BLANCHE 25KG,"Issue du maïs écrasé, elle sert à la préparation de repas ou de gateaux",Afrique/ Amerique Latine,Au poids,Autres,,
167,FARINE DE MAIS BLANC ,"Issue du maïs écrasé, elle sert à la préparation de repas ou de gateaux",Afrique/Amerique du Sud,Au poids,Autres,,
168,FARINE DE MAIS JAUNE 1KG,"Issue du maïs écrasé, elle sert à la préparation de repas ou de gateaux",Afrique/ Amerique Latine,Au poids,Autres,,
169,FECULE DE POMME DE TERRE  1kg,C'est une fine poudre obtenue après le séchage de pommes de terre réduites ensuite en farine. Elle est utilisée en cuisine pour épaissir les préparations. Ses valeurs nutritives sont très faibles et dépourvues de gluten.,Monde,Au poids,Autres,,
